id,title,price,description,category,image
1,Iphone 17 Pro,999.99,New Launch,Smartphones,http://example.com/p1.jpg
2,Samsung Galaxy S26,899.50,Pre-order,Smartphones,http://example.com/p2.jpg
3,MacBook Air M4,1200.00,Ultra Thin,Laptops,http://example.com/p3.jpg
4,Sony WH-1000XM6,350.00,Noise Cancelling,Audio,http://example.com/p4.jpg
5,Dell XPS 15,1450.75,Infinity Edge,Laptops,http://example.com/p5.jpg
6,Apple Watch Ultra 3,799.00,Rugged Design,Wearables,http://example.com/p6.jpg
7,iPad Pro M3,1099.00,OLED Display,Tablets,http://example.com/p7.jpg
8,Nintendo Switch 2,399.99,Gaming Console,Gaming,http://example.com/p8.jpg
9,GoPro Hero 14,450.00,5K Video,Cameras,http://example.com/p9.jpg
10,Kindle Paperwhite,139.99,E-reader,Electronics,http://example.com/p10.jpg
11,Bose QuietComfort,299.00,Wireless Audio,Audio,http://example.com/p11.jpg
12,Logitech MX Master 3S,99.00,Ergonomic Mouse,Accessories,http://example.com/p12.jpg
13,Razer BlackWidow,150.50,Mechanical Keyboard,Gaming,http://example.com/p13.jpg
14,Asus ROG Zephyrus,2100.00,Gaming Laptop,Laptops,http://example.com/p14.jpg
15,Pixel 10 Pro,899.00,AI Camera,Smartphones,http://example.com/p15.jpg
16,Surface Pro 11,999.00,2-in-1 Laptop,Tablets,http://example.com/p16.jpg
17,Nikon Z8,3500.00,Mirrorless Camera,Cameras,http://example.com/p17.jpg
18,DJI Mavic 4,1200.00,4K Drone,Drones,http://example.com/p18.jpg
19,Sonos Era 300,449.00,Spatial Audio,Audio,http://example.com/p19.jpg
20,Fitbit Charge 7,179.00,Health Tracker,Wearables,http://example.com/p20.jpg
21,Western Digital 2TB,80.00,External SSD,Storage,http://example.com/p21.jpg
22,Samsung Odyssey G9,1299.00,Curved Monitor,Monitors,http://example.com/p22.jpg
23,Keychron Q1,160.00,Custom Keyboard,Accessories,http://example.com/p23.jpg
24,OnePlus 13,699.00,Fast Charging,Smartphones,http://example.com/p24.jpg
25,Canon EOS R5,3800.00,Professional DSLR,Cameras,http://example.com/p25.jpg
26,HP Spectre x360,1350.00,Convertible,Laptops,http://example.com/p26.jpg
27,SteelSeries Arctis,180.00,Gaming Headset,Gaming,http://example.com/p27.jpg
28,Amazon Echo Dot,49.99,Smart Speaker,Smart Home,http://example.com/p28.jpg
29,Philips Hue Starter,120.00,Smart Lighting,Smart Home,http://example.com/p29.jpg
30,Garmin Fenix 8,899.00,GPS Watch,Wearables,http://example.com/p30.jpg
31,Corsair Vengeance,110.00,DDR5 RAM,Components,http://example.com/p31.jpg
32,EVGA RTX 5080,850.00,Graphics Card,Components,http://example.com/p32.jpg
33,Seagate IronWolf,250.00,NAS Drive,Storage,http://example.com/p33.jpg
34,Netgear Orbi,450.00,Mesh WiFi,Networking,http://example.com/p34.jpg
35,TP-Link Archer,199.00,WiFi 7 Router,Networking,http://example.com/p35.jpg
36,Beats Studio Pro,349.00,Over-ear,Audio,http://example.com/p36.jpg
37,Apple TV 4K,129.00,Streaming Box,Electronics,http://example.com/p37.jpg
38,Steam Deck OLED,549.00,Handheld Gaming,Gaming,http://example.com/p38.jpg
39,Elgato Stream Deck,149.00,Content Creation,Accessories,http://example.com/p39.jpg
40,Blue Yeti Nano,99.00,USB Microphone,Audio,http://example.com/p40.jpg
41,Ring Video Doorbell,199.00,Security,Smart Home,http://example.com/p41.jpg
42,August Smart Lock,220.00,Home Access,Smart Home,http://example.com/p42.jpg
43,Wyze Cam v4,35.00,Affordable Security,Smart Home,http://example.com/p43.jpg
44,Anker 737 PowerBank,140.00,High Capacity,Accessories,http://example.com/p44.jpg
45,Sennheiser Momentum,320.00,Audiophile,Audio,http://example.com/p45.jpg
46,Wacom Intuos,80.00,Drawing Tablet,Accessories,http://example.com/p46.jpg
47,Belkin MagSafe,40.00,iPhone Charger,Accessories,http://example.com/p47.jpg
48,Tile Pro,35.00,Key Finder,Electronics,http://example.com/p48.jpg
49,Nothing Phone 3,599.00,Transparent Design,Smartphones,http://example.com/p49.jpg
50,Xiaomi Mi Band 9,45.00,Fitness Tracker,Wearables,http://example.com/p50.jpg
